# 02805 shared playground — week 1 release (frozen snapshot, 2026-08-26)
# Wikipedia Category:Marvel Comics superheroes: one node per character; edge A -> B
# when the article of A links to the article of B. 303 nodes, 1784 directed edges.
# 17 characters have no edge in either direction — take the full node set from week1_nodes.tsv.
# source	target
Abomination_(character)	Deathlok
Abomination_(character)	Gargoyle_(comics)
Abomination_(character)	Hercules_(Marvel_Comics)
Abomination_(character)	Hulk
Abomination_(character)	Jessica_Jones
Abomination_(character)	Kristoff_Vernard
Abomination_(character)	She-Hulk
Abomination_(character)	Spider-Man
Adam_Warlock	Black_Panther_(character)
Adam_Warlock	Black_Widow_(Natasha_Romanova)
Adam_Warlock	Devil_Dinosaur
Adam_Warlock	Doctor_Strange
Adam_Warlock	Emma_Frost
Adam_Warlock	Fin_Fang_Foom
Adam_Warlock	Genis-Vell
Adam_Warlock	Ghost_Rider
Adam_Warlock	Gladiator_(Kallark)
Adam_Warlock	Hulk
Adam_Warlock	Human_Torch
Adam_Warlock	Iron_Lad
Adam_Warlock	Kismet_(Marvel_Comics)
Adam_Warlock	Man-Thing
Adam_Warlock	Moon_Knight
Adam_Warlock	Moondragon
Adam_Warlock	Phyla-Vell
Adam_Warlock	Quasar_(character)
Adam_Warlock	Scarlet_Witch
Adam_Warlock	She-Hulk
Adam_Warlock	Spider-Man
Adam_Warlock	Star-Lord
Agent_X_(Marvel_Comics)	Bob,_Agent_of_Hydra
Agent_X_(Marvel_Comics)	Cable_(character)
Agent_X_(Marvel_Comics)	Outlaw_(Marvel_Comics)
Ajak	Hercules_(Marvel_Comics)
Ajak	Ikaris
Ajak	Makkari_(character)
Ajak	Thena
Alex_Wilder	Chase_Stein
Anne_Weying	Deadpool
Anne_Weying	Eddie_Brock
Anne_Weying	Spider-Man
Anne_Weying	Venom_(character)
Anole_(character)	Cyclops_(Marvel_Comics)
Anole_(character)	Emma_Frost
Anole_(character)	Hellion_(character)
Anole_(character)	Hulkling
Anole_(character)	Northstar_(character)
Anole_(character)	Rockslide_(character)
Anya_Corazon	Dusk_(comics)
Anya_Corazon	Machine_Man
Anya_Corazon	Mayday_Parker
Anya_Corazon	Ms._Marvel
Anya_Corazon	Phil_Urich
Anya_Corazon	Power_Man_(Victor_Alvarez)
Anya_Corazon	Rikki_Barnes
Anya_Corazon	Spider-Girl
Anya_Corazon	Spider-Man
Anya_Corazon	Spider-Man_Noir
Anya_Corazon	Spider-Woman_(Gwen_Stacy)
Anya_Corazon	Spider-Woman_(Jessica_Drew)
Arabian_Knight_(character)	Black_Panther_(character)
Arabian_Knight_(character)	Hulk
Arabian_Knight_(character)	Machine_Man
Arabian_Knight_(character)	Sabra_(character)
Arabian_Knight_(character)	She-Hulk
Arabian_Knight_(character)	Storm_(Marvel_Comics)
Arabian_Knight_(character)	Union_Jack_(Joseph_Chapman)
Arabian_Knight_(character)	Union_Jack_(Marvel_Comics)
Ares_(Marvel_Comics)	Balder_the_Brave
Ares_(Marvel_Comics)	Black_Knight_(Marvel_Comics)
Ares_(Marvel_Comics)	Hercules_(Marvel_Comics)
Ares_(Marvel_Comics)	Ikaris
Ares_(Marvel_Comics)	Outlaw_(Marvel_Comics)
Ares_(Marvel_Comics)	Sentry_(Robert_Reynolds)
Ares_(Marvel_Comics)	Shang-Chi
Backhand_(character)	Vyking
Balder_the_Brave	Fandral
Balder_the_Brave	Hercules_(Marvel_Comics)
Battlestar_(character)	Bucky_(Marvel_Comics)
Battlestar_(character)	U.S._Agent
Beta_Ray_Bill	Adam_Warlock
Beta_Ray_Bill	Hulk
Beta_Ray_Bill	Rom_the_Space_Knight
Beta_Ray_Bill	Spider-Man
Beta_Ray_Bill	Storm_(Marvel_Comics)
Betsy_Braddock	Anole_(character)
Betsy_Braddock	Black_Cat_(Marvel_Comics)
