# 02805 shared playground — week 1 release (frozen snapshot, 2026-08-26)
# All 303 characters in Wikipedia's Category:Marvel Comics superheroes
# (redirects resolved). node_id matches week1_edges.tsv.
node_id	name	wikidata_id	url	description
Abomination_(character)	Abomination (character)	Q60146	https://en.wikipedia.org/wiki/Abomination_(character)	The Abomination (Emil Blonsky) is a character appearing in American comic books published by Marvel Comics.
Adam_Warlock	Adam Warlock	Q1735229	https://en.wikipedia.org/wiki/Adam_Warlock	Adam Warlock is a character appearing in American comic books published by Marvel Comics.
Agent_X_(Marvel_Comics)	Agent X (Marvel Comics)	Q1054789	https://en.wikipedia.org/wiki/Agent_X_(Marvel_Comics)	Agent X (Nijo Minamiyori, alias Alex Hayden) is a fictional mercenary appearing in American comic books published by Marvel Comics.
Ajak	Ajak	Q554230	https://en.wikipedia.org/wiki/Ajak	Ajak is a fictional character appearing in American comic books published by Marvel Comics.
Alex_Wilder	Alex Wilder	Q3610734	https://en.wikipedia.org/wiki/Alex_Wilder	Alex Wilder is a fictional character appearing in American comic books published by Marvel Comics.
Anne_Weying	She-Venom (Patricia Robertson)	Q14475812	https://en.wikipedia.org/wiki/Anne_Weying	She-Venom (Anne Weying) is a fictional character appearing in American comic books published by Marvel Comics.
Anole_(character)	Anole (character)	Q2539373	https://en.wikipedia.org/wiki/Anole_(character)	Anole (Victor Borkowski) is a mutant superhero appearing in American comic books published by Marvel Comics.
Anya_Corazon	Anya Corazon	Q2604744	https://en.wikipedia.org/wiki/Anya_Corazon	Aña "Anya" Sofia Corazón (surname alternatively shown without diacritic, Corazon, over the years) is a superhero appearing in American comic books published by Marvel Comics.
Arabian_Knight_(character)	Arabian Knight (character)	Q4783369	https://en.wikipedia.org/wiki/Arabian_Knight_(character)	Arabian Knight is a title used by multiple fictional characters appearing in American comic books published by Marvel Comics.
Ares_(Marvel_Comics)	Ares (Marvel Comics)	Q1277573	https://en.wikipedia.org/wiki/Ares_(Marvel_Comics)	Ares is a fictional character, a deity appearing in American comic books published by Marvel Comics.
Backhand_(character)	Backhand (character)	Q4839658	https://en.wikipedia.org/wiki/Backhand_(character)	Backhand (Greg Mattingly) is a superhero appearing in American comic books published by Marvel Comics.
Balder_the_Brave	Balder the Brave	Q2440279	https://en.wikipedia.org/wiki/Balder_the_Brave	Balder the Brave is a fictional character appearing in American comic books published by Marvel Comics.
Battlestar_(character)	Battlestar (character)	Q1168463	https://en.wikipedia.org/wiki/Battlestar_(character)	Battlestar (Lemar Hoskins) is a superhero appearing in American comic books published by Marvel Comics.
Baymax	Baymax	Q16839317	https://en.wikipedia.org/wiki/Baymax	Baymax is a fictional superhero character appearing in American comic books published by Marvel Comics.
